processes,time_min_sec,time_avg_sec,time_std_sec,best_gflops,speedup_vs_p4,eff_vs_p4
4,172.477465591,172.477465591,0.0,11.595717696494038,1.0,100.0
9,144.972215228,152.406767172,8.710417972,13.795746977133305,1.1897277372753259,52.87678832334781
12,148.038538445,148.038538445,0.0,13.509995579583824,1.1650848988561155,38.83616329520385
16,189.610532557,193.133472754,4.344864465,10.547937253426403,0.9096407423419397,22.741018558548493
25,214.462071813,214.462071813,0.0,9.325658299822349,0.8042329542605163,12.867727268168261
36,255.643530934,255.643530934,0.0,7.823393741640753,0.6746795624393439,7.496439582659377
44,304.251408858,304.251408858,0.0,6.573511056224684,0.5668912635060256,5.153556940963869
