variant,m,k,n,processes,nodes,tile,repeat_index,seconds,checksum_sum,checksum_abs,checksum_max_abs,checksum_hash,run_label,mapping,pe,threads_per_process,sample_file,full_file
mpi_2d,4096,4096,4096,16,3,1024,0,36.468881455,17178352257343432,17178352257343432,1096509498,99a5a38cbc1e12b7,report_panel_sweep,slots_4_6_6_panel_1024,1,1,,
mpi_2d,4096,4096,4096,16,3,2048,0,34.405575449,17178352257343432,17178352257343432,1096509498,99a5a38cbc1e12b7,report_panel_sweep,slots_4_6_6_panel_2048,1,1,,
mpi_2d,4096,4096,4096,16,3,4096,0,33.862474654,17178352257343432,17178352257343432,1096509498,99a5a38cbc1e12b7,report_panel_sweep,slots_4_6_6_panel_4096,1,1,,
