variant,m,k,n,processes,nodes,tile,run_label,mapping,pe,runs,time_avg_sec,time_min_sec,time_std_sec,baseline_time_sec,speedup,efficiency,amdahl_serial_fraction,amdahl_parallel_fraction,amdahl_speedup,amdahl_max_speedup,checksum_hashes
mpi_2d,10000,10000,10000,4,3,10000,report_10000_process_sweep,slots_2_1_1_panel_10000,1,1,172.477465591,172.477465591,0.000000000,,,,,,,,1
mpi_2d,10000,10000,10000,9,3,10000,report_10000_process_sweep,slots_3_3_3_panel_10000,1,3,152.406767172,144.972215228,8.710417972,,,,,,,,1
mpi_2d,10000,10000,10000,12,3,10000,report_10000_process_sweep,slots_4_4_4_panel_10000,1,1,148.038538445,148.038538445,0.000000000,,,,,,,,1
mpi_2d,10000,10000,10000,16,3,10000,report_10000_process_sweep,slots_4_6_6_panel_10000,1,3,193.133472754,189.610532557,4.344864465,,,,,,,,1
mpi_2d,10000,10000,10000,25,3,10000,report_10000_process_sweep,slots_7_9_9_panel_10000,1,1,214.462071813,214.462071813,0.000000000,,,,,,,,1
mpi_2d,10000,10000,10000,36,3,10000,report_10000_process_sweep,slots_10_13_13_panel_10000,1,1,255.643530934,255.643530934,0.000000000,,,,,,,,1
mpi_2d,10000,10000,10000,44,3,10000,report_10000_process_sweep,slots_12_16_16_panel_10000,1,1,304.251408858,304.251408858,0.000000000,,,,,,,,1
